,Title,Authors,Abstract,Journal Title,Link,Published Date,Volume,Pages,
0,Law and/or/as Civility, Keith J. Bybee,"The United States, like many countries around the world today, is experiencing the disruption of traditional patterns of governance and the breaking of norms of everyday behavior. If we identify the norms of governance with the rule of law, and if we consider the norms of everyday behavior to constitute civility, then we can approach the current state of affairs by asking how law and civility relate to one another. I survey and discuss three different understandings of the law/civility relationship: law and civility, law or civility, and law as civility. Each of these understandings is an analytical resource, and as such, each understanding captures a facet of a complex relationship and provides a way to think about our current age of unrest.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-120920-084221,Oct-21,Vol. 17,1-14,
1,Social Theory and Legal Theory: Contemporary Interactions, Roger Cotterrell,"This article identifies points of comparison between legal theory and social theory and possibilities for research communication between them. The current range of both fields is such that each must be seen as a compendium of very diverse intellectual projects. So, the article explores particular contemporary themes around which the interests of juristic scholars and social theorists are converging, albeit that their theoretical aims often differ. Contrasting and complementary juristic and social theoretical perspectives are considered in relation to the following: the future of legal individualism, the identity of law as a social phenomenon, the relations of law and power, the contribution of law to societal integration, and the changing relation of law and the state. The article argues that these five themes reveal major intellectual challenges for both legal theory and social theory and productive future areas for inquiry.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-102720-020551,Oct-21,Vol. 17,15-29 ,
2,Hobbling: The Effects of Proactive Policing and Mass Imprisonment on Children's Education, Benjamin Justice,"Researchers have written a good deal in the last two decades about the relationship between public education and criminal justice as a pipeline by which public school practices correlate with or cause increased lifetime risk for incarceration for Black and Latinx youth. This article flips the script of the school-to-prison pipeline metaphor by reversing the question. What are the effects of criminal justice on public schooling? Reviewing recent social science research from multiple disciplines on policing and incarceration, this article describes the relationship of criminal justice to public education as hobbling, a social process by which the massification of policing and incarceration systematically compromises the ability of target demographics of American children to enjoy their rights to a free and appropriate public education.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-120920-084831,Oct-21,Vol. 17,31-51 ,
3,Governance by Data, Fleur Johns,"Law and social science scholars have long elucidated ways of governing built around state governance of populations and subjects. Yet many are now grappling with the growing prevalence of practices of governance that depart, to varying degrees, from received models. The profusion of digital data, and the deployment of machine learning in its analysis, are redirecting states’ and international organizations’ attention away from the governance of populations as such and toward the amassing, analysis, and mobilization of hybrid data repositories and real-time data flows for governance. Much of this work does not depend on state data sources or on conventional statistical models. The subjectivities nurtured by these techniques of governance are frequently not those of choosing individuals. Digital objects and mediators are increasingly prevalent at all scales. This article surveys how scholars are beginning to understand the nascent political technologies associated with this shift toward governance by data.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-120920-085138,Oct-21,Vol. 17,53-71 ,
4,"Truth Commission Impact on Policy, Courts, and Society", Onur Bakiner,"This review surveys the philosophical underpinnings, conceptual frames, and methodological choices informing the scholarship on truth commission impact to examine whether, how, how much, and why truth commissions influence policy, court decisions, and social norms. It focuses on three areas: (a) truth commission impact as the product of complex interactions between politicians, civil society activists, and truth commissions; (b) conceptual and methodological debates and disagreements in studies of impact; and (c) normative visions guiding expectations and assessments. The findings of empirical scholarship range from partial confirmation of bold and at times vague expectations to damning accounts of commissions’ failure to deliver. In addition to conceptual and methodological choices, scholars’ normative assumptions and expectations also explain divergent accounts of truth commission impact. Three sets of normative frameworks set the expectations in particular: building liberal democratic institutions; transforming socioeconomic, gendered, and racialized hierarchies; and reflecting local values, norms, and power dynamics.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-111620-010000,Oct-21,Vol. 17,73-91 ,
5,Legal Responsibility Among the Young and the Elderly, Eve M. Brank and  Lindsey E. Wylie,"The decision of whether to hold someone legally responsible raises both philosophical and psychological questions. Philosophically, legal responsibility derives from either what someone did or who someone is—deed or role responsibility. For both the young and the very old, responsibility for bad actions is intertwined with psychological definitions of competency and capacity. For the young, the law assumes incompetence until a certain chronological age or court determination. For the old, no automatic chronological age is determinative; rather, the law assumes competence until a court determines otherwise. These automatic or court determinations impact legal responsibility in both the civil and criminal law contexts for both the young and the old. Additionally, special circumstances create responsibilities for others in relation to the young and old.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-021721-091626,Oct-21,Vol. 17,93-108 ,
6,Gender Inequalities in Markets, Tamar Kricheli-Katz,"Various forms of inequality, such as the gender, race, and class systems of inequality, operate and intersect in societies and markets. In this review, I discuss specifically the gender system of inequality. I focus on market interactions, conceptualizing them as the building blocks for gender inequalities in markets. My objective is to give an account of the complex interplay between the unequal distributions of resources, stereotypes and cultural beliefs about gender, and the law. I start by describing the persistence of gender inequality in markets. Building on studies in social psychology, I then identify the ways in which stereotypes and cultural beliefs about gender constantly, and unconsciously, frame our market interactions. Lastly, I discuss the limits of the law in altering the ways in which we interact in markets and the potential of the law to bring about lasting change.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-111620-012514,Oct-21,Vol. 17,109-122 ,
7,The Reasonable Person Standard: Psychological and Legal Perspectives, Mark D. Alicke and  Stephanie H. Weigel,"In criminal cases of self-defense and provocation, and civil cases of negligence, culpability is often decided with reference to how a reasonably prudent person (RPP) would have behaved in similar circumstances. The RPP is said to be an objective standard in that it eschews consideration of a defendant's unique background or characteristics. We discuss theory and evidence suggesting that in morally relevant judgments, including those involving negligence, self-defense, and provocation, the tendency to rely on the self—on one's own values and predilections—dominates considerations of the RPP. We consider subjective standards that have been proposed as alternatives to the RPP and review research on this topic. We conclude by considering avenues for future research, particularly addressing conditions in which self-standards of reasonableness are most likely to prevail.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-111620-020400,Oct-21,Vol. 17,123-138 ,
8,Business and Human Rights: Alternative Approaches to Transnational Regulation, Surya Deva,"In recent years, various approaches to transnational regulation of business conduct have evolved as an alternative to the command-and-control model focusing on conduct of domestic businesses and the soft law approach of international human rights law to regulate corporations. On reviewing the potential of five such approaches (i.e., polycentric governance, extraterritorial regulation, proposed international treaty, reform of corporate laws, and rebalancing of trade-investment agreements), this article makes two arguments. First, although polycentric governance is critical to fill regulatory deficits of state-based regulation, this approach should not ignore or weaken further the role and relevance of states in regulating businesses, given the dynamic relation between state-based and other regulatory approaches. Second, greater attention should be paid to nonhuman rights regulatory regimes to change the corporate culture, which tends to externalize human rights issues. The increasing focus on the role of corporate laws and trade-investment agreements should be seen in this context.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-113020-074527,Oct-21,Vol. 17,139-158 ,
9,"Protecting Basic Legal Freedoms: International Legal Complexes, Accountability Devices, and the Deviant Case of China"," Terence C. Halliday,  Shira Zilberstein, and  Wendy Espeland","With a focus on legal and other organizational actors beyond the state, this article seeks to expand the theory of conditions under which legal occupations will mobilize to fight for basic legal freedoms within states. It elaborates the line of scholarship on legal complexes and political liberalism within states since the 17th century. First, we catalog harms that international organizations (IOs) of many kinds seek to protect in the more than 190 states in the world. Second, we elaborate the concept of an international legal complex (ILC) as a collective actor in the global struggle for basic legal freedoms. We illustrate these two steps with new data on China drawn from a wider project. We show what harms mobilize the ILC, international human rights organizations (IHROs) and an international governmental organization, the UN Human Rights Council (UNHRC). We focus on accountability devices as tools differentially deployed by the ILC, IOs, and UNHRC in theirefforts to influence the institutionalization of basic legal freedoms, an open civil society, and a moderate state in China. The illustrative case of China provides a framework for research and theory on all other countries.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-111620-013613,Oct-21,Vol. 17,159-180 ,
10,The Impact of Experienced and Expressed Emotion on Legal Factfinding, Jessica M. Salerno,"Judges and jurors are asked to comb through horrific evidence of accidents and crimes when choosing verdicts and punishment. These factfinders are likely to experience and express intense emotions as a result. A review of social, cognitive, moral, and legal psychological science illuminates how experienced and expressed emotions in legal settings can unconsciously bias even the most well-intentioned, diligent factfinder's decision-making processes in prejudicial ways. Experiencing negative emotions creates motivation to blame and punish—instigating blame validation processes to justify guilty/liability verdicts and harsher punishments. The review also examines how emotion expression can impugn legal actors’ credibility when it violates factfinders’ (often unrealistic) expectations for appropriate emotion in legal contexts. It considers misguided and promising interventions to help factfinders regulate emotional responses, advocating limiting emotional evidence as much as possible and, when not possible, helping factfinders reframe how they think about it and remain aware of their potential biases.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-021721-072326,Oct-21,Vol. 17,181-203 ,
11,Street-Level Meta-Strategies: Evidence on Restorative Justice and Responsive Regulation, John Braithwaite,"Restorative justice may be effective because it is a street-level meta-strategy that is responsive and relational. Nonresponsive, nonrelational strategies that are enacted from desks are less likely to be effective; best-practice strategies may be less likely to be effective than wisely sequenced meta-strategies. Responsive regulation is conceived as a strategy of moving among strategies, as opposed to selection of any best strategy. Restorative justice is a way of selecting strategies to heal the hurts of injustice. Empathic empowerment of stakeholders who take turns to speak in a circle is at the heart of its strategy for strategy selection. Restorative justice can complement responsive regulation; at their best, they are mutually constitutive. Responsive regulation may work best when restorative justice is a first preference at the base of a pyramid of strategies. Responsive regulation involves listening and flexible deliberative choice among strategies arrayed in a pyramid. At the bottom of the pyramid are more frequently used, noncoercive strategies of first choice. Despite encouraging evidence that restorative and responsive regulation can work better than less dynamic top-down enforcement, the effectiveness of restorative justice and responsive regulation depends mainly on the efficacy of the interventions that are responsively chosen. It is time to redirect research and development to improving the quality of restorative-responsive strategy selection and the quality of the diverse strategies on offer.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-111720-013149,Oct-21,Vol. 17,205-225 ,
12,Transitional Justice and Property: Inextricably Linked, Helena Alviar García,"This article analyzes the different ways in which transitional justice has dealt with demands over property restitution and redistribution. To do this, it presents a review of academic literature regarding how to define reparation, the justifications for restitution, and the debate regarding property redistribution as a part of peace negotiations. The article ends with a synthesis of the different critiques raised to the ways in which restitution and redistribution of property have been legally structured. These critiques include foregrounding neoliberalism (as an economic ideal and a governance project) in transitional justice, unveiling gender biases as well as demands for more comprehensive redistribution in the aftermath of civil war.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-120920-085908,Oct-21,Vol. 17,227-238 ,
13,Replicability in Empirical Legal Research, Jason M. Chin and  Kathryn Zeiler,"As part of a broader methodological reform movement, scientists are increasingly interested in improving the replicability of their research. Replicability allows others to perform replications to explore potential errors and statistical issues that might call the original results into question. Little attention, however, has been paid to the state of replicability in the field of empirical legal research (ELR). Quality is especially important in this field because empirical legal researchers produce work that is regularly relied upon by courts and other legal bodies. In this review, we summarize the current state of ELR relative to the broader movement toward replicability in the social sciences. As part of that aim, we summarize recent collective replication efforts in ELR and transparency and replicability guidelines adopted by journals that publish ELR. Based on this review, ELR seems to be lagging other fields in implementing reforms. We conclude with suggestions for reforms that might encourage improved replicability.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-121620-085055,Oct-21,Vol. 17,239-260 ,
14,Water Security and International Law," Philippe Cullet,  Lovleen Bhullar, and  Sujith Koonan","International law seeks to ensure water security and to prevent or resolve conflicts leading to water insecurity. This relationship is based on a hybrid framework comprising binding and nonbinding instruments. The multi-scalar dimensions of water (in)security are recognized, but further engagement is required. The link between international law and water (in)security is considered primarily through the lens of international water law, which focuses on transboundary (surface) watercourses. Groundwater—the other main source of water and determinant of water (in)security—receives little attention. Further, the traditional state-centric approach, with its emphasis on sovereignty and cooperation, remains the dominant paradigm despite some attempts to redefine it. Several other branches of international law present opportunities for expanding international law's engagement with the water security discourse. Finally, the climate change challenge requires a reconsideration of international law's approach to water (in)security while considering the global dimensions of water.",Annual Review of Law and Social Science,https://doi.org/10.1146/annurev-lawsocsci-010421-014915,Oct-21,Vol. 17,261-276 ,
