,Title,Authors,Abstract,Published Date,Journal Title,Volume,Pages,Link
0,Transnational Litigation in U.S. Courts: A Theoretical and Empirical Reassessment,Christopher A. Whytock,"It is widely claimed that the level of transnational litigation in U.S. courts is high and increasing, primarily due to forum shopping by foreign plaintiffs. This “transnational forum shopping claim” reflects the conventional wisdom among transnational litigation scholars. Lawyers use the claim in briefs; judges use it in court opinions; and interest groups use it to promote law reform. This article reassesses the transnational forum shopping claim theoretically and empirically. It argues that despite globalization, there are reasons to doubt the claim. Changes in procedural and substantive law have made the U.S. legal system less attractive to plaintiffs than it supposedly once was. Meanwhile, other legal systems have been adopting features similar to those that are said to have made the United States a “magnet forum” for foreign plaintiffs, and arbitration is growing as an alternative to transnational litigation. Empirically, using data on approximately 8 million civil actions filed in the U.S. district courts since 1988, the article shows that transnational diversity cases represent only a small portion of overall litigation, their level has decreased overall, and U.S., not foreign, plaintiffs file most of them. The data also reveal that federal question filings by foreign resident plaintiffs are not extensive or increasing either. These findings challenge the transnational forum shopping claim and law reforms based on it, and suggest that it should no longer be used by lawyers, judges, and scholars—at least not without supporting data. The article’s analysis also suggests new directions for transnational litigation as a field of scholarship that would move it beyond its current focus on U.S. courts toward a focus on understanding the dynamics of transnational litigation in global context.",03 February 2022,Journal of Empirical Legal Studies,Early View,NA,https://onlinelibrary.wiley.com/doi/10.1111/jels.12306
1,Does Group Familiarity Improve Deliberations in Judicial Teams? Evidence from the German Federal Court of Justice,Tilko Swalve,"Collegiality plays a central role in judicial decision-making. However, we still lack empirical evidence about the effects of collegiality on judicial decision-making. In this article, I argue familiarity, an antecedent to collegiality, improves judicial deliberations by encouraging minority dissent and a more extensive debate of different legal viewpoints. Relying on a novel dataset of 21,613 appeals in criminal cases at the German Federal Court of Justice between 1990 and 2016, I exploit quasi-random assignment of cases to decision-making groups to show that judges' pairwise familiarity substantially increases the probability that judges schedule a main hearing after first-stage deliberations. Group familiarity also increases the length of the justification of the ruling. The findings have implications for the way courts organize the assignment of judges to panels.",03 February 2022,Journal of Empirical Legal Studies,Early View,NA,https://onlinelibrary.wiley.com/doi/10.1111/jels.12308
2,Do Firearm Markets Comply with Firearm Restrictions? How the Massachusetts Assault Weapons Ban Enforcement Notice Changed Registered Firearm Sales,"Kenneth C. Wilbur, Meenakshi Balakrishna","How well do firearm markets comply with firearm restrictions? The Massachusetts Attorney General issued an Enforcement Notice in 2016 to announce a new interpretation of the key phrase “copies and duplicates” in the state's assault weapons ban. The Enforcement Notice increased assault rifle sales by 1349 (+560%) within 5 days, followed by a reduction of 211 (−58%) over the next 3 weeks. Assault rifle sales were 64%–66% lower in 2017 than in comparable earlier periods, suggesting that the Enforcement Notice reduced assault weapon sales but also that many banned weapons continued to be sold.",27 January 2022,Journal of Empirical Legal Studies,Early View,NA,https://onlinelibrary.wiley.com/doi/10.1111/jels.12307
3,Leases as Forms,"David A. Hoffman, Anton Strezhnev","We offer the first large-scale descriptive study of residential leases, based on a novel dataset of ~170,000 residential leases filed in support of over ~200,000 Philadelphia eviction proceedings from 2005 through 2019. These leases are highly likely to contain unenforceable terms, and their pro-landlord tilt has increased sharply over time. Matching leases with individual tenant characteristics, and to 16,261 unique owner-landlords, we show that unenforceable terms are likely to be associated with more expensive leaseholds in richer, whiter parts of the city. This result is linked to particular landlords' growing adoption of shared forms, originally created by nonprofit landlord associations, and more recently available online for a nominal fee. Generally, such shared form leases contain worse rules for tenants than the proprietary leases they replace. Over time, it has become easier and cheaper for landlords to adopt such common forms, meaning that access to justice for landlords strips tenants of rights.",23 January 2022,Journal of Empirical Legal Studies,Early View,NA,https://onlinelibrary.wiley.com/doi/10.1111/jels.12309
4,Citations to Interest Groups and Acceptance of Supreme Court Decisions,Kayla S. Canelo,"Interest groups have become increasingly involved in every aspect of American politics, including at the U.S. Supreme Court, with the filing of amicus curiae briefs. In recent years, the justices have been more frequently citing interest-group-filed briefs in their opinions, suggesting these groups play some role in the decision-making process. What we do not know is whether these types of citations might carry any potential implications for public perceptions of the Court's decisions as this phenomenon becomes more prevalent and people become equipped with this information. To test this empirically, I implement a survey experiment with approximately 3000 respondents that assesses acceptance of Supreme Court opinions that cite interest-group-filed amicus curiae briefs. I find that the public is less accepting of decisions that cite ideologically overt interests in the aggregate and less accepting of decisions that cite interest groups that are ideologically incompatible with their own preferences. However, the public does not view Supreme Court decision making as political, even when the justices cite ideologically charged groups. Taken together, these findings suggest the public uses interest group source cues to evaluate Supreme Court decisions when equipped with this information and that while the public responds negatively to politics in Supreme Court decisions, the Court maintains its image as a nonpolitical entity.",19 January 2022,Journal of Empirical Legal Studies,Early View,NA,https://onlinelibrary.wiley.com/doi/10.1111/jels.12304
5,Issue Information,,,14 December 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 4", 697-699,https://onlinelibrary.wiley.com/doi/10.1111/jels.12257
6,The Effectiveness of Certificates of Relief: A Correspondence Audit of Hiring Outcomes,"Peter Leasure, Robert J. Kaminski","Although there are several collateral consequence relief mechanisms that could theoretically be used to improve employment outcomes for those with criminal history, many of these mechanisms are available only for first-time/low-level individuals or possess other requirements that limit their accessibility. Recognizing these facts, some jurisdictions have created certificates of relief, which are generally more accessible than other relief mechanisms. The goal of the current study was to test whether one state's (Ohio) certificate could improve hiring outcomes for men with criminal histories comprised of felony theft, felony drug possession, and misdemeanor drug paraphernalia convictions. This goal was achieved with the use of two field experiments. Results showed that certificate holders with criminal history received significantly fewer callbacks than those with no criminal record and fared no better than those with an identical criminal record and no certificate. Further, African-American applicants received significantly fewer callbacks than white applicants in all criminal record categories.",14 December 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 4", 849-875,https://onlinelibrary.wiley.com/doi/10.1111/jels.12297
7,Does the Bar Exam Protect the Public?,Kyle Rozema,"I study the effects of requiring lawyers to pass the bar exam on whether they are later publicly disciplined for misconduct. In the 1980s, by abolishing what is known as a diploma privilege, four states began to require graduates from all law schools to pass the bar exam. My research design exploits these events to estimate the effect of the bar passage requirement on the share of lawyers publicly sanctioned by state discipline bodies. I find that during the first decade of their careers lawyers licensed without a bar passage requirement are publicly sanctioned at similar rates to lawyers licensed after passing a bar exam. Small differences do begin to emerge after a decade, however, and larger though still modest differences form after two decades.",14 December 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 4", 801-848,https://onlinelibrary.wiley.com/doi/10.1111/jels.12299
8,Understanding the Decline in Drinking and Driving During “The Other Great Moderation”,Darren Grant,"This article seeks to explain the large decline in drinking and driving that occurred in the United States during the 1980s and 1990s. Using a simple measure of drinking and driving—the fraction of crashes involving drinking drivers—we develop a basic traffic safety model that improves estimates of drunk driving laws' effects and breaks down declines in drinking and driving into components associated with each major influence that has been identified in the literature—including unobservable “social forces.” In this decomposition, we find that the widespread enactment of seven major drunk driving laws explains only one-fifth of the reduction in drinking and driving over this period, comparable to the effects of reduced alcohol consumption and less than those of demographic shifts and changes in social attitudes. “The Other Great Moderation” is best understood as a two-decade movement of drinking and driving to a new steady state, led by social forces and cemented and extended by law.",17 November 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 4", 876-907,https://onlinelibrary.wiley.com/doi/10.1111/jels.12300
9,Assessing the Influence of Amici on Supreme Court Decision Making,"Ronald Mann, Michael Fronk","The authors analyze a dataset of indicators of the influence of amicus filings on the decisions of the United States Supreme Court from October Term 2013 through October Term 2018), examining the effect of filings on the prevailing party, on citations to amicus filings, and on sources drawn from amicus filings. The dataset includes 386 cases, 4500 amicus filings, and 22,000 citations in Supreme Court decisions. In some ways, the paper updates scholarship from the turn of the century, when amicus filings were much less prevalent, but it also breaks new ground with the data about citations to amicus filings and sources drawn from amicus filings.",29 October 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 4", 700-741,https://onlinelibrary.wiley.com/doi/10.1111/jels.12302
10,The Canada Trademarks Dataset,Jeremy N. Sheff,"This article discloses and describes a new research dataset representing the Canadian Intellectual Property Office's historical archive of trademark applications. This individual-application-level dataset includes all applications since approximately 1980, and many preserved applications and registrations dating back to the beginning of Canada's trademark registry in 1865, totaling over 1.6 million application records. It includes comprehensive bibliographic and lifecycle data; trademark characteristics; goods and services claims; identification of applicants, attorneys, and other interested parties (including address data); detailed prosecution history event data; and data on application, registration, and use claims in countries other than Canada. Both the dataset and the code used to build and analyze it are presented for public use on open-access terms at https://doi.org/10.5281/zenodo.4999655. This article uses the dataset to generate novel descriptive analyses of the performance of Canada's trademark registration system and the behavior of applicants for registration, both independently and in comparison to the United States and Australia. These analyses suggest that Canada's trademark registration system is substantially underperforming other nations with respect to efficiency of examination, and that recent statutory and regulatory changes in Canadian trademark law may have the effect of masking or even exacerbating this underperformance while decreasing the reliability of the Canadian trademark registry as an authoritative guide to trademarks used in Canadian commerce.",29 October 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 4", 908-955,https://onlinelibrary.wiley.com/doi/10.1111/jels.12303
11,The Dogma Within? Examining Religious Bias in Private Title VII Claims,"Matthew Dahl, Devan N. Patel, Matthew E. K. Hall","In recent years, American politicians have become increasingly concerned that judges who identify as Christian are making decisions based on that identity—that Christian judges harbor a certain “dogma” within them that shapes their decision making. In this article, we investigate whether this concern is warranted by examining how such judges handle claims that are brought under Title VII of the Civil Rights Act of 1964, which prohibits private discrimination in employment on the basis of religion. By focusing on decision making in cases of private discrimination—rather than public discrimination—we make progress on a theoretical conundrum that has dogged previous efforts to identify causal effects in religious accommodation cases. However, our tests produce little evidence to support the idea that Christian judges are more likely than their non-Christian colleagues to favor claimants, even in this alternative domain. Our findings therefore suggest that the current political focus on possible bias among Christian judges is empirically unfounded, at least in situations of religious accommodation.",27 October 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 4", 742-764,https://onlinelibrary.wiley.com/doi/10.1111/jels.12298
12,Prosecution or Persecution? Extraneous Events and Prosecutorial Decisions,"Samantha Bielen, Peter Grajzl","In 2004, a Dutch-Moroccan Islamic extremist in Amsterdam brutally murdered Theo van Gogh, a Dutch filmmaker known for his critique of Islam. Using a difference-in-differences approach, we show that, in Amsterdam, the assassination resulted in more than a 19-percentage-point increase in the likelihood of prosecution for unrelated violent crimes of male suspects born in Muslim-majority countries. The effect is detectable during the first month following the murder but dissipates thereafter. We find no evidence of the murder's effect for nonviolent crimes and for violent crimes processed by other Dutch prosecution offices. Our findings are thus not consistent with a purely emotions-based explanation of the murder's effect. Instead, our results are congruent with both a signaling explanation, whereby career-motivated prosecutors chose to showcase their toughness, and a behavioral explanation entailing prosecutors' susceptibility to availability heuristic bias. On institutional grounds, we view the latter as more plausible than the former. Our article adds to an emerging literature demonstrating that extraneous events can critically shape criminal justice outcomes.",20 October 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 4", 765-800,https://onlinelibrary.wiley.com/doi/10.1111/jels.12301
13,Issue Information,,,20 September 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 3", 485-487,https://onlinelibrary.wiley.com/doi/10.1111/jels.12256
14,Consumption Tax Reform and the Real Economy: Evidence From India's Adoption of a Value-Added Tax,"Abhay Aneja, Nirupama Kulkarni, S. K. Ritadhi","We study the impact of a consumption tax reform on firm capital and productivity by examining India's replacement of the sales tax with a value-added tax (VAT). Unlike the sales tax, the VAT allowed firms to offset their tax liability with VAT paid on capital inputs, effectively reducing the tax-related cost of capital. Exploiting the staggered adoption of the tax reform across Indian states, we show that VAT adoption increased firm capital by 3%. The effects are driven by financially-constrained firms – an important source of heterogeneity in a developing country context. We also document a corresponding improvement in the productivity of financially-constrained firms. Our findings thus suggest that beyond revenue generation, consumption tax reforms can have the additional effect of stimulating investment and productivity in resource-constrained environments.",20 September 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 3", 569-602,https://onlinelibrary.wiley.com/doi/10.1111/jels.12296
15,"Ideology, Disadvantage, and Federal District Court Inmate Civil Rights Filings: The Troubling Effects of Pro Se Status",Anna Gunderson,"Nearly 80 percent of all federal judicial activity occurs in the district courts and a significant portion of that activity is the result of prisoners filing petitions against state and federal correctional representatives. We know relatively little about these lawsuits, however. This article focuses on inmate civil rights filings as a vital form of political action of those incarcerated and argues that ideology and disadvantage play a role in the ultimate outcome of these cases. I amass a large dataset of every prison condition or civil rights petition filed by an inmate from 1989 to 2016 and find that while ideology does not predict the likelihood an inmate lawsuit will succeed, that prisoners' pro se status, whether they file the petition without the aid of an attorney, makes it significantly more likely the suit will be dismissed and less likely that inmate will receive relief. This is suggestive evidence that pro se status, and not necessarily actual legal quality, may be driving outcomes in prisoners' rights cases. This article has implications not only for the study of judicial decision making in the federal district courts, but also as an example of important political action of a disenfranchised and neglected group in our legal system.",13 September 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 3", 603-628,https://onlinelibrary.wiley.com/doi/10.1111/jels.12290
16,Death Penalty Statutes and Murder Rates: Evidence From Synthetic Controls,Brett Parker,"Public debates over the death penalty in the U.S. have long focused on the punishment's putative deterrent effect. Unsurprisingly, numerous scholars have sought to determine (1) whether the penalty in fact prevents murders, and (2) how many murders it prevents. However, these efforts have deployed a fairly homogeneous set of methodological techniques—primarily OLS and two-stage least squares with instrumental variables. This article breaks from that tradition by using synthetic controls to assess the deterrent capacity of capital punishment. Applying this technique using seven states that recently abolished the death penalty and 29 states that retained the punishment during the same period, I find no evidence that the presence of a capital punishment statute in a state is sufficient to deter murders. These results are robust to numerous alternative specifications; they also persist when I use stranger homicides—which are theoretically more susceptible to deterrence—as the dependent variable.",13 September 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 3", 488-533,https://onlinelibrary.wiley.com/doi/10.1111/jels.12291
17,Physician Licensing and Discipline: Lessons From Indiana,"Jing Liu, David A. Hyman","Using physician licensing data from 1972–2015 obtained from Indiana, we examine the performance of the disciplinary process in enforcing minimum performance standards. Only 1.2 percent of the physicians in our dataset were disciplined. Drug diversion, substance abuse, and sexual misconduct account for 60 percent of all disciplinary actions. Male physicians are at higher risk for disciplinary action for sexual misconduct and drug diversion, but not for other types of misconduct. Graduates of U.S. and non-U.S. medical schools have the same overall risk of disciplinary action—but for non-U.S. educated physicians, this is the result of averaging a significantly lower risk of discipline for drug and alcohol abuse and drug diversion with a significantly higher risk of discipline for negligence and sexual misconduct. Physicians who attended medical school in the Caribbean have a significantly higher risk of discipline for negligence/incompetence, but not for other causes.",13 September 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 3", 629-659,https://onlinelibrary.wiley.com/doi/10.1111/jels.12292
18,The Impact of Employers' Liability on 19th-Century U.K. Coalmining Fatalities,Cento Veljanovski,The effects of the increase in the employers' liability on work accidents is underresearched. This article investigates the impact using time series analysis of changes brought about by the Employers' Liability Act 1880 and Workmens' Compensation Act 1897 on the U.K. coal mining fatality rates and wages over the period 1873 to 1914. The statistical analysis finds little evidence that these reforms affected coal mining fatality rates. There is some statistical evidence that this may have been due to offsetting wage adjustments as the employers were required to compensate those injured and the survivors of deceased miners.,13 September 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 3", 660-683,https://onlinelibrary.wiley.com/doi/10.1111/jels.12293
19,Revisiting the Business of State Supreme Courts in the 21st Century,"Brent D. Boyea, Paul Brace","In this research note, we extend four decades of research mapping the work of state supreme courts since the 1870s employing newly available data to map the work of state high courts into the 21st century. Comparing these recent data with the historical patterns illustrated in past studies, our analysis reveals both stable trends as well as notable changes. Criminal and contract appeals continued to increase, debt and real property appeals continued to decrease, tort appeals stabilized, and public law and family and estates appeals declined markedly in the most recent period after exhibiting stability previously. Combined with these past studies, this research note illustrates both significant stability as well as notable change in the work of state supreme court dockets spanning almost 150 years.",13 September 2021,Journal of Empirical Legal Studies,"Volume 18, Issue 3", 684-696,https://onlinelibrary.wiley.com/doi/10.1111/jels.12294
